,FACTURA NRO. ,3245,,,,,,
,Exported:,8/28/2018,,,,,,
,,,,,,,,
,Customer,,,,,,,
,Platinum Services Telecommunication LTD,,,,,,,
,"Suite 3, 64/1, Agiton Buildings, St. Antony Street",,,,,,,
,84320 San Gwann,,,,,,,
,Malta,,,,,,,
,,,,,,,,
,Invoice for Period,,,,,,,
,8/20/2018 until 8/26/2018,,,,,,,
,,,,,,,,
,Summary,,,,,,,
,Calls:,,1.764,,,,,
,Minutes:,,"4.351,63",,,,,
,SUM:,,"125,80",Dollar,,,,
,Total:,,"125,80",Dollar,,,,
,,,,,,,,
,Due Date,9/2/2018,,,,,,
,,,,,,,,
,Traffic,,,,,,,
,Destination,Calls,Minutes,Price,Total,Currency,From,Until
,DOMINICANA REPUBLICA - MOBILE_1,2,"0,85","0,0800","0,07",Dollar,8/22/2018,8/24/2018
,DOMINICANA REPUBLICA - MOBILE_2,744,"371,58","0,0800","29,73",Dollar,8/20/2018,8/25/2018
,Senegal - Mobile - Sentel (Tigo),1,"0,30","0,3500","0,11",Dollar,8/23/2018,8/23/2018
,VENEZUELA MOVIL - DIGITEL,1,"0,33","0,0720","0,02",Dollar,8/22/2018,8/22/2018
,VENEZUELA MOVIL - MOVILNET,952,"3.933,08","0,0235","92,43",Dollar,8/20/2018,8/26/2018
,VENEZUELA MOVIL - MOVISTAR,64,"45,48","0,0758","3,45",Dollar,8/21/2018,8/26/2018
